SSE Value: 8.83320459772

Clusters:
0	323906398826164225, 323906398993932289, 323908455545049088, 323906656318676993, 323906397735641088, 323906398012461057, 323906399295926273, 323906399300100096, 323907087551836160, 323908795396943872, 323906399149109248, 323906398314438656, 323906397618196483, 323906398230544385, 323906397853073410, 323908795254312962, 323906397962121216, 323906398352195585, 323906397609791488, 323907771256938496, 
1	323921510282702848, 323911610236293120, 323920146454425600, 323925264352546816, 323906483584655360, 323916051614138368, 323923559799996417, 323915000567697409, 323906485249789952, 
2	323906653651079168, 323906650987692034, 323906651209994241, 323906657333682176, 
3	323907258301939713, 323910330457669633, 323955716392112128, 323906567294562306, 324445292130877440, 323963901769297921, 324226045052071936, 323932094190439874, 323910330315075584, 324446653635522560, 323906398176030720, 
4	323909308188344320, 324229792834674689, 
5	323924155391164416, 323919716039155712, 323906482489921537, 323924496144797697, 323906398423490561, 323915624835342337, 323913403460636673, 323922279182520320, 323911097818173440, 323944113764438016, 323950257832603648, 323928504523694080, 323921167381577728, 323917413789868034, 323930212121317377, 323929272685318147, 323946504752603136, 323913746231750656, 323933624816787456, 323916814490939393, 323932515599515649, 323918009901150208, 323925432548335616, 323927822072684544, 323906484629032960, 323913403951357953, 323924665074581504, 
6	325063081929629696, 324038827578626048, 324067437886713856, 324210976629067776, 
7	325702115865538560, 324445289912074240, 324117950774775809, 324117952695771137, 
8	324179340675915779, 324132606608306176, 324160230760005632, 324138055772561408, 324227779530985472, 324188481918230528, 324070589214117888, 324002623571255296, 324125626284007424, 324534627039588355, 324154782782742529, 324460055724433408, 
9	324358798179459073, 324375472681148416, 324376801382133761, 324366333829586945, 324219503401644033, 324419757661097984, 
10	324427314060484608, 324427596253253633, 324327410344542208, 324320247018573824, 324428255794978816, 324327405743382529, 324427930631544832, 324425542629732352, 324423829088784384, 
11	324348252763873283, 324326985423982395, 324354128398432734, 324382984012350293, 324351038741901865, 324368024561909760, 324310958418232934, 324334932112843721, 324346553835868161, 324326736198238763, 324373063433847463, 324337983412847463, 
12	324418112688623616, 324380629779247106, 324470253339959298, 325702936036524032, 324458862537228289, 324372750330363904, 
13	324408861563944960, 324409861041438720, 324408472441585664, 324439832715747328, 324432383115935744, 324439166496690176, 324409871061618689, 325335253487063041, 324452116863258624, 
14	324423160525103105, 324423157106749441, 324422817565257728, 324423146381901825, 324423506957852672, 324423494098120705, 
15	324787508997144576, 324448359932887040, 324785131569168384, 324452781371060224, 324799030859280384, 324785120085176320, 324448013999304704, 324785129241341952, 324448711860158464, 324438127102013440, 324451075501457408, 324437436077854721, 324440178842296321, 324790912431583232, 
16	325702375430057984, 324785122073251840, 325702633174204416, 325702711729348608, 325702956185948160, 325702294928764929, 325702363174285312, 325702635405574145, 325702287978795009, 325702377279729664, 325702031912349696, 325702958786441216, 325702632603803648, 325702626169729024, 
17	325059598488829953, 325059996704452608, 325059374814994434, 325059351209443329, 325063478140346370, 325061078994284544, 325060608246562816, 325059948511899648, 
18	325060324992643072, 325060145082163200, 325060154087309312, 325060826346184707, 325060138891350016, 
19	325166486215856129, 325170591164403712, 325171606253080577, 325175391654408192, 325338650076405761, 325162944931438592, 325178436660375552, 325163043233337344, 325172960413503489, 325170934115864576, 325173634563964929, 325171288526163968, 325165164561330176, 325176378595102720, 
20	325253670746849280, 325253669408874496, 325253670780416000, 325253327640223744, 325254353877352448, 325253327048822784, 
21	324441544377634816, 325350010961141760, 325329802032721920, 324441529030701057, 325337627857387521, 325337640322871296, 325586012854185985, 325342218942554112, 325337623910559745, 
22	325409996764479488, 325409996726743041, 325409910827401217, 325410254697414658, 325409910869327872, 325409992121389058, 325409927193567232, 325409996290527232, 325410327183364096, 325409910714138625, 325409996529602560, 325409996965810176, 325409910642835456, 325410327296614400, 325409910588317696, 325409910886117377, 325410327200145409, 325410327036571649, 
23	325702294287048705, 325701932083716096, 325702950859198464, 325702269288992768, 325702271591665664, 325702273684627456, 325702955896553472, 325702890297643008, 325702285621612545, 325701934273134594, 325701941478973440, 326228987233841152, 
24	325947340777222145, 325947343281205248, 325946633986641920, 325947301745029121, 325927476566032385, 325946918842818560, 325946659739668480, 325917940564250624, 325947086145212416, 325946283368013824, 
